edge_id,charge_node_id,charge_node_distance,场站名称,充电车位数
4349,21063.0,135.0,MA01H3BQ1,10
4366,20320.0,97.0,MA5CTTPE8,10
4368,20320.0,647.0,MA5CTTPE8,10
4372,21063.0,135.0,MA01H3BQ1,10
4373,21063.0,529.0,MA01H3BQ1,10
4376,20678.0,919.0,MA5CTTPE8,10
4389,20678.0,919.0,MA5CTTPE8,10
4401,20603.0,691.0,MA5CTTPE8,10
4403,20678.0,919.0,MA5CTTPE8,10
4409,20603.0,691.0,MA5CTTPE8,10
4412,20603.0,782.0,MA5CTTPE8,10
4425,20603.0,919.0,MA5CTTPE8,10
4426,20603.0,919.0,MA5CTTPE8,10
4427,20603.0,953.0,MA5CTTPE8,10
4428,20603.0,953.0,MA5CTTPE8,10
4431,20603.0,919.0,MA5CTTPE8,10
4454,19841.0,180.0,MA5DT8Q54,10
4457,20320.0,647.0,MA5CTTPE8,10
4461,19841.0,317.0,MA5DT8Q54,10
4466,19841.0,452.0,MA5DT8Q54,10
4494,19845.0,669.0,MA5DT8Q54,10
4503,19841.0,317.0,MA5DT8Q54,10
4504,19845.0,669.0,MA5DT8Q54,10
4519,19841.0,654.0,MA5DT8Q54,10
4520,19845.0,669.0,MA5DT8Q54,10
4521,19845.0,526.0,MA5DT8Q54,10
4524,19845.0,648.0,MA5DT8Q54,10
4535,19845.0,540.0,MA5DT8Q54,10
4536,19845.0,526.0,MA5DT8Q54,10
4540,19605.0,851.0,MA5DT8Q54,10
4658,19784.0,949.0,MA5DT8Q54,10
4661,19784.0,949.0,MA5DT8Q54,10
4667,19784.0,799.0,MA5DT8Q54,10
4688,19634.0,209.0,MA01H3BQ1,10
4693,19636.0,949.0,MA01H3BQ1,10
4697,19636.0,949.0,MA01H3BQ1,10
4715,20829.0,922.0,MA5DT8Q54,10
4719,20829.0,832.0,MA5DT8Q54,10
4720,20829.0,832.0,MA5DT8Q54,10
4724,20829.0,720.0,MA5DT8Q54,10
4727,20829.0,862.0,MA5DT8Q54,10
4728,20829.0,862.0,MA5DT8Q54,10
4734,20216.0,327.0,MA5CTTPE8,10
4736,20829.0,720.0,MA5DT8Q54,10
4737,20829.0,955.0,MA5DT8Q54,10
4738,20216.0,982.0,MA5CTTPE8,10
4740,20216.0,851.0,MA5CTTPE8,10
4741,20216.0,984.0,MA5CTTPE8,10
4742,20216.0,594.0,MA5CTTPE8,10
4743,20216.0,851.0,MA5CTTPE8,10
4747,20852.0,372.0,MA01H3BQ1,10
4748,20216.0,984.0,MA5CTTPE8,10
4756,20852.0,474.0,MA01H3BQ1,10
4759,20852.0,969.0,MA01H3BQ1,10
4760,20852.0,969.0,MA01H3BQ1,10
4765,20852.0,878.0,MA01H3BQ1,10
4766,20852.0,878.0,MA01H3BQ1,10
4767,20852.0,474.0,MA01H3BQ1,10
4774,20216.0,716.0,MA5CTTPE8,10
4780,20852.0,891.0,MA01H3BQ1,10
4781,20852.0,675.0,MA01H3BQ1,10
4806,19830.0,805.0,MA5DT8Q54,10
4807,20852.0,891.0,MA01H3BQ1,10
4810,19830.0,805.0,MA5DT8Q54,10
4811,19830.0,800.0,MA5DT8Q54,10
4816,19830.0,800.0,MA5DT8Q54,10
